t_s,ch1
0.0000,0
0.1354,0
0.2708,0
0.4061,0
0.5429,1
0.6791,1
0.8152,2
0.9415,3
1.0768,4
1.2120,6
1.3477,8
1.4835,10
1.6086,13
1.7452,15
1.8808,18
2.0188,22
2.1548,26
2.2808,30
2.4162,34
2.5517,39
2.6874,44
2.8228,48
2.9582,53
3.0936,58
3.2294,63
3.3548,67
3.4938,73
3.6326,77
3.7631,83
3.9016,87
4.0310,92
4.1710,97
4.2996,102
4.4385,107
4.5693,112
4.7088,117
4.8403,122
4.9716,127
5.1114,131
5.2412,137
5.3801,141
5.5081,146
5.6477,151
5.7756,156
5.9134,160
6.0517,166
6.1802,170
6.3197,176
6.4476,180
6.5865,185
6.7153,190
6.8551,195
6.9852,199
7.1249,205
7.2536,209
7.3924,215
7.5233,219
7.6612,223
7.7906,228
7.9299,231
8.0586,235
8.1965,238
8.3258,241
8.4639,244
8.6026,246
8.7304,248
8.8698,250
8.9992,252
9.1403,253
9.2701,254
9.3991,254
9.5396,255
