t_s,ch1
0.0000,0
0.1357,0
0.2616,1
0.3988,2
0.5260,4
0.6617,6
0.7992,9
0.9353,13
1.0711,17
1.1991,21
1.3344,25
1.4696,28
1.6050,33
1.7301,36
1.8654,40
2.0008,44
2.1364,47
2.2722,51
2.4120,55
2.5420,59
2.6803,63
2.8090,67
2.9479,70
3.0860,74
3.2147,78
3.3440,81
3.4831,86
3.6225,89
3.7520,93
3.8911,97
4.0189,101
4.1582,105
4.2867,108
4.4262,112
4.5550,116
4.6942,120
4.8232,123
4.9624,127
5.0915,131
5.2302,135
5.3600,139
5.4993,142
5.6290,147
5.7680,150
5.8995,154
6.0286,158
6.1748,161
6.2958,165
6.4360,169
6.5663,173
6.7069,176
6.8328,181
6.9689,184
7.1044,188
7.2398,192
7.3791,195
7.5052,200
7.6429,203
7.7787,207
7.9146,211
8.0398,215
8.1750,219
8.3110,222
8.4472,226
8.5831,230
8.7084,234
8.8133,237
8.9488,241
9.0916,244
9.2169,248
9.3542,251
9.4908,253
9.6263,254
9.7522,255
